Ligne,7,Direction,St parres
POCHINOT,06:28,06:38,06:50,07:01,07:15,07:27,07:41,07:52,08:04,08:17,08:29,08:41,08:53,09:05,09:17,09:29,09:41,09:53,10:05,10:17,10:29,10:41,10:53,11:05,11:17,11:29,11:41,11:53,12:05,12:17,12:30,12:41,12:53,13:05,13:19,13:31,13:41,13:53,14:05,14:17,14:29,14:41,14:53,15:05,15:17,15:30,15:44,15:57,16:10,16:22,16:35,16:48,17:01,17:16,17:30,17:42,17:54,18:07,18:20,18:31,18:43,18:55,19:06,19:19,19:32,|,19:58,|,|,|
DESMOULINS,06:29,06:39,06:51,07:02,07:17,07:29,07:43,07:54,08:06,08:19,08:31,08:43,08:54,09:06,09:18,09:30,09:42,09:54,10:06,10:19,10:31,10:43,10:55,11:07,11:19,11:31,11:43,11:55,12:07,12:19,12:32,12:43,12:54,13:06,13:20,13:32,13:42,13:54,14:06,14:18,14:30,14:43,14:55,15:07,15:19,15:32,15:46,15:59,16:12,16:24,16:37,16:50,17:03,17:18,17:32,17:44,17:56,18:09,18:22,18:33,18:45,18:57,19:07,19:20,19:33,|,19:59,|,|,|
DENIZOT,06:29,06:39,06:51,07:02,07:17,07:29,07:43,07:54,08:06,08:19,08:31,08:43,08:54,09:06,09:18,09:30,09:42,09:54,10:06,10:19,10:31,10:43,10:55,11:07,11:19,11:31,11:43,11:55,12:07,12:19,12:32,12:43,12:54,13:06,13:20,13:32,13:42,13:54,14:06,14:18,14:30,14:43,14:55,15:07,15:19,15:32,15:47,16:00,16:13,16:25,16:38,16:51,17:04,17:19,17:33,17:44,17:56,18:09,18:22,18:33,18:45,18:57,19:07,19:20,19:33,|,19:59,|,|,|
GUESDE,06:30,06:40,06:52,07:03,07:18,07:30,07:44,07:55,08:07,08:20,08:32,08:44,08:55,09:07,09:19,09:31,09:43,09:55,10:07,10:20,10:32,10:44,10:56,11:08,11:20,11:32,11:44,11:56,12:08,12:20,12:33,12:44,12:55,13:07,13:21,13:33,13:43,13:55,14:07,14:19,14:31,14:44,14:56,15:08,15:20,15:33,15:48,16:01,16:14,16:26,16:39,16:52,17:05,17:20,17:34,17:45,17:57,18:10,18:23,18:34,18:46,18:58,19:08,19:21,19:34,|,20:00,|,|,|
MAIRIE ST PARRES,06:31,06:41,06:53,07:04,07:19,07:31,07:45,07:56,08:08,08:21,08:33,08:45,08:56,09:08,09:20,09:32,09:44,09:56,10:08,10:21,10:33,10:45,10:57,11:09,11:21,11:33,11:45,11:57,12:09,12:21,12:34,12:45,12:56,13:08,13:22,13:34,13:44,13:56,14:08,14:20,14:32,14:45,14:57,15:09,15:21,15:34,15:49,16:02,16:15,16:27,16:40,16:53,17:06,17:21,17:35,17:46,17:58,18:11,18:24,18:35,18:47,18:59,19:09,19:22,19:35,|,20:01,|,|,|
CERISIERS,06:31,06:41,06:53,07:04,07:19,07:31,07:45,07:56,08:08,08:21,08:33,08:46,08:57,09:09,09:21,09:33,09:45,09:57,10:09,10:22,10:34,10:45,10:58,11:09,11:22,11:33,11:45,11:57,12:09,12:21,12:34,12:45,12:56,13:08,13:22,13:34,13:45,13:57,14:09,14:21,14:33,14:46,14:58,15:10,15:22,15:35,15:50,16:03,16:16,16:28,16:41,16:54,17:07,17:22,17:36,17:47,17:59,18:11,18:25,18:35,18:47,18:59,19:09,19:22,19:35,|,20:01,|,|,|
BROUILLARD,06:32,06:42,06:54,07:05,07:20,07:32,07:46,07:57,08:09,08:22,08:34,08:47,08:57,09:09,09:21,09:34,09:45,09:57,10:09,10:23,10:34,10:46,10:59,11:10,11:23,11:34,11:46,11:58,12:10,12:22,12:35,12:46,12:57,13:09,13:23,13:35,13:45,13:58,14:09,14:21,14:34,14:46,14:58,15:11,15:22,15:35,15:51,16:03,16:16,16:29,16:41,16:54,17:08,17:22,17:37,17:47,18:00,18:12,18:26,18:36,18:48,19:00,19:10,19:23,19:36,|,20:02,|,|,|
C CIAL ST PARRES,06:35,06:43,06:57,07:08,07:21,07:36,07:47,07:58,08:13,08:23,08:35,08:51,08:59,09:11,09:23,09:38,09:47,09:59,10:11,10:27,10:36,10:47,11:03,11:11,11:27,11:35,11:47,11:59,12:14,12:23,12:39,12:47,12:58,13:10,13:27,13:36,13:47,14:02,14:11,14:23,14:38,14:48,15:00,15:15,15:24,15:37,15:55,16:05,16:18,16:33,16:43,16:56,17:12,17:24,17:41,17:49,18:04,18:13,18:30,18:40,18:49,19:04,19:11,19:27,19:37,|,20:05,|,|,|
TERRASSES DE B.,|,06:44,|,|,07:23,|,07:49,08:00,|,08:25,08:37,|,09:00,09:12,09:24,|,09:48,10:00,10:12,|,10:37,10:49,|,11:13,|,11:37,11:49,12:01,|,12:25,|,12:49,13:00,13:12,|,13:38,13:48,|,14:12,14:24,|,14:49,15:01,|,15:25,15:38,|,16:06,16:19,|,16:44,16:57,|,17:25,|,17:50,|,18:15,|,|,18:51,|,19:13,|,19:38,|,|,|,|,|
AIRE DES MOISSONS,|,06:45,|,|,07:24,|,07:50,08:01,|,08:26,08:38,|,09:01,09:13,09:25,|,09:49,10:01,10:13,|,10:38,10:50,|,11:14,|,11:38,11:50,12:02,|,12:26,|,12:50,13:01,13:13,|,13:39,13:49,|,14:13,14:25,|,14:50,15:02,|,15:26,15:39,|,16:07,16:20,|,16:45,16:58,|,17:26,|,17:51,|,18:16,|,|,18:52,|,19:14,|,19:39,|,|,|,|,|
ST P. ASCLEPIADE,|,06:46,|,|,07:25,|,07:51,08:02,|,08:27,08:39,|,09:03,09:15,09:27,|,09:51,10:03,10:15,|,10:40,10:51,|,11:15,|,11:39,11:51,12:03,|,12:27,|,12:51,13:02,13:14,|,13:40,13:51,|,14:15,14:27,|,14:52,15:04,|,15:28,15:41,|,16:09,16:22,|,16:47,17:00,|,17:28,|,17:53,|,18:17,|,|,18:53,|,19:15,|,19:40,|,|,|,|,|
