Ligne,7,Direction,St parres
HALLE,06:18,06:28,06:39,06:50,07:03,07:15,07:27,07:38,07:50,08:03,08:15,08:27,08:39,08:51,09:03,09:15,09:27,09:39,09:51,10:03,10:15,10:27,10:39,10:51,11:03,11:15,11:27,11:39,11:50,12:02,12:15,12:27,12:39,12:51,13:03,13:15,13:27,13:39,13:51,14:03,14:15,14:27,14:39,14:51,15:03,15:16,15:29,15:42,15:55,16:08,16:21,16:34,16:45,16:59,17:13,17:26,17:39,17:52,18:05,18:17,18:29,18:41,18:53,19:06,19:20,19:34,19:47,19:59,|,|
THEATRE DE CHAMP.,06:18,06:28,06:39,06:50,07:03,07:15,07:28,07:39,07:51,08:04,08:16,08:28,08:40,08:52,09:04,09:16,09:28,09:40,09:52,10:04,10:16,10:28,10:40,10:52,11:04,11:16,11:28,11:40,11:51,12:03,12:16,12:28,12:40,12:52,13:04,13:16,13:28,13:40,13:52,14:04,14:16,14:28,14:40,14:52,15:04,15:17,15:30,15:43,15:56,16:09,16:22,16:35,16:46,17:00,17:14,17:27,17:40,17:53,18:06,18:18,18:30,18:42,18:54,19:07,19:20,19:34,19:47,19:59,|,|
PREFECTURE,06:20,06:30,06:41,06:52,07:05,07:17,07:30,07:41,07:53,08:06,08:18,08:30,08:42,08:54,09:06,09:18,09:30,09:42,09:54,10:06,10:18,10:30,10:42,10:54,11:06,11:18,11:30,11:42,11:53,12:05,12:18,12:30,12:42,12:54,13:06,13:18,13:30,13:42,13:54,14:06,14:18,14:30,14:42,14:54,15:06,15:19,15:32,15:45,15:58,16:11,16:24,16:37,16:48,17:03,17:17,17:29,17:42,17:55,18:08,18:20,18:32,18:44,18:56,19:09,19:22,19:36,19:49,20:01,|,|
JACOBINS,06:21,06:31,06:42,06:53,07:06,07:18,07:31,07:42,07:54,08:07,08:19,08:31,08:43,08:55,09:07,09:19,09:31,09:43,09:55,10:07,10:19,10:31,10:43,10:55,11:07,11:19,11:31,11:43,11:55,12:07,12:20,12:31,12:43,12:55,13:07,13:19,13:31,13:43,13:55,14:07,14:19,14:31,14:43,14:55,15:07,15:20,15:33,15:46,15:59,16:12,16:25,16:38,16:50,17:05,17:19,17:31,17:44,17:57,18:10,18:21,18:33,18:45,18:57,19:10,19:23,19:37,19:50,20:02,|,|
FORTIER,06:22,06:32,06:43,06:54,07:08,07:20,07:33,07:44,07:56,08:09,08:21,08:33,08:45,08:57,09:09,09:21,09:33,09:45,09:57,10:09,10:21,10:33,10:45,10:57,11:09,11:21,11:33,11:45,11:57,12:09,12:22,12:33,12:45,12:57,13:10,13:22,13:33,13:45,13:57,14:09,14:21,14:33,14:45,14:57,15:09,15:22,15:35,15:48,16:01,16:14,16:27,16:40,16:52,17:07,17:21,17:33,17:46,17:59,18:12,18:23,18:35,18:47,18:59,19:12,19:25,19:38,19:51,20:03,|,|
CHARMILLES,06:23,06:33,06:44,06:55,07:08,07:20,07:34,07:45,07:57,08:10,08:22,08:34,08:46,08:58,09:10,09:22,09:34,09:46,09:58,10:10,10:22,10:34,10:46,10:58,11:10,11:22,11:34,11:46,11:58,12:10,12:23,12:34,12:46,12:58,13:11,13:23,13:34,13:46,13:58,14:10,14:22,14:34,14:46,14:58,15:10,15:23,15:36,15:49,16:02,16:15,16:28,16:41,16:53,17:08,17:22,17:34,17:47,18:00,18:13,18:24,18:36,18:48,18:59,19:12,19:25,19:39,19:52,20:04,|,|
MICHELET,06:24,06:34,06:45,06:56,07:09,07:21,07:35,07:46,07:58,08:11,08:23,08:35,08:47,08:59,09:11,09:23,09:35,09:47,09:59,10:11,10:23,10:35,10:47,10:59,11:11,11:23,11:35,11:47,11:59,12:11,12:24,12:35,12:47,12:59,13:13,13:25,13:35,13:47,13:59,14:11,14:23,14:35,14:47,14:59,15:11,15:24,15:37,15:50,16:03,16:16,16:29,16:42,16:54,17:09,17:23,17:35,17:48,18:01,18:14,18:25,18:37,18:49,19:00,19:13,19:26,19:40,19:53,20:05,|,|
MOINES,06:25,06:35,06:46,06:57,07:11,07:23,07:37,07:48,08:00,08:13,08:25,08:37,08:49,09:01,09:13,09:25,09:37,09:49,10:01,10:13,10:25,10:37,10:49,11:01,11:13,11:25,11:37,11:49,12:01,12:13,12:26,12:37,12:49,13:01,13:15,13:27,13:37,13:49,14:01,14:13,14:25,14:37,14:49,15:01,15:13,15:26,15:39,15:52,16:05,16:18,16:31,16:44,16:56,17:11,17:25,17:37,17:50,18:03,18:16,18:27,18:39,18:51,19:02,19:15,19:28,19:41,19:54,20:06,|,|
EUROPE,06:25,06:35,06:47,06:58,07:12,07:24,07:38,07:49,08:01,08:14,08:26,08:38,08:50,09:02,09:14,09:26,09:38,09:50,10:02,10:14,10:26,10:38,10:50,11:02,11:14,11:26,11:38,11:50,12:02,12:14,12:27,12:38,12:50,13:02,13:16,13:28,13:38,13:50,14:02,14:14,14:26,14:38,14:50,15:02,15:14,15:27,15:40,15:53,16:06,16:19,16:32,16:45,16:57,17:12,17:26,17:38,17:51,18:04,18:17,18:28,18:40,18:52,19:03,19:16,19:29,|,19:55,|,|,|
POINT DU JOUR,06:27,06:37,06:49,07:00,07:14,07:26,07:40,07:51,08:03,08:16,08:28,08:40,08:52,09:04,09:16,09:28,09:40,09:52,10:04,10:16,10:28,10:40,10:52,11:04,11:16,11:28,11:40,11:52,12:04,12:16,12:29,12:40,12:52,13:04,13:18,13:30,13:40,13:52,14:04,14:16,14:28,14:40,14:52,15:04,15:16,15:29,15:43,15:56,16:09,16:21,16:34,16:47,17:00,17:15,17:29,17:41,17:53,18:06,18:19,18:30,18:42,18:54,19:05,19:18,19:31,|,19:57,|,|,|
